SHA-256,来源/案例,文件大小（字节）,文件类型,语言候选,可恢复程度,熵,特征提取状态,AI工具链证据数,LLM参与结论,模型厂商,模型家族,具体模型,归因方法,代码文体特征状态,Prompt候选数,Prompt结构标记数,Prompt结构状态,Prompt精确哈希数,Prompt模糊哈希数,Prompt模糊哈希状态,特殊Token数,PyInstaller恢复状态,分析错误数,物理输入路径数,分析批次,结果位置,人工确认,备注
0884e5590bdf3763f8529453fbd24ee46a3a460bba4c2da5b0141f5ec6a35675,SLOPOLY,6176,"Unicode text, UTF-8 (with BOM) text, with very long lines (349), with CRLF, LF line terminators",powershell,original_source,4.9023,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/slopoly_1ff0e2ac9d9f85335ce8d67cf3de55c75a85f7628723f04736b0f23fad5073af/0884e5590bdf3763f8529453fbd24ee46a3a460bba4c2da5b0141f5ec6a35675/result.json,LLM辅助生成，未确认模型归属,—
09bf891b7b35b2081d3ebca8de715da07a70151227ab55aec1da26eb769c006f,PromptLock,6553784,"ELF 64-bit LSB executable, ARM aarch64, version 1 (SYSV)",—,strings_only,6.099,已完成,2,confirmed,OpenAI,gpt-oss,gpt-oss-20b,direct_model_identifier,not_trained,0,21,仅提示词编排结构，未恢复完整 Prompt,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_review_20260826,analysis_results/review_reextraction_20260826/09bf891b7b35b2081d3ebca8de715da07a70151227ab55aec1da26eb769c006f/result.json,LLM确认模型归属，提示词未提取成功,—
11f5c91d24c9d1eee16dacacfb9160e299544c1a854af92f79daf88364cea0b6,PromptSpy,9034250,"Android package (APK), with gradle app-metadata.properties Zip archive data, at least v0.0 to extract, compression method=deflate",—,strings_only,7.5282,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/11f5c91d24c9d1eee16dacacfb9160e299544c1a854af92f79daf88364cea0b6/result.json,APK文件，无法确认,—
1458b6dc98a878f237bfb3c3f354ea6e12d76e340cefe55d6a1c9c7eb64c9aee,PromptLock,7118848,"PE32+ executable (console) x86-64, for MS Windows, 8 sections",—,strings_only,6.2586,已完成,2,confirmed,OpenAI,gpt-oss,gpt-oss-20b,direct_model_identifier,not_trained,0,21,仅提示词编排结构，未恢复完整 Prompt,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_review_20260826,analysis_results/review_reextraction_20260826/1458b6dc98a878f237bfb3c3f354ea6e12d76e340cefe55d6a1c9c7eb64c9aee/result.json,LLM确认模型归属，提示词未提取成功,—
165eaf8183f693f644a8a24d2ec138cd4f8d9fd040e8bafc1b021a0f973692dd,LAMEHUG（APT28）,208,"Unicode text, UTF-8 (with BOM) text, with CRLF line terminators",—,unknown,5.0338,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/165eaf8183f693f644a8a24d2ec138cd4f8d9fd040e8bafc1b021a0f973692dd/result.json,只有一些IP地址，未见ai信号,—
299ae5afdf4338e1e5d68656c67719346277deae20d9d013079244302040db7e,PromptSpy,9356792,"Android package (APK), with AndroidManifest.xml Zip archive data, at least v2.0 to extract, compression method=deflate",—,strings_only,7.5663,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/299ae5afdf4338e1e5d68656c67719346277deae20d9d013079244302040db7e/result.json,APK文件，无法确认,—
2eb18873273e157a7244bb165d53ea3637c76087eea84b0ab635d04417ffbe1b,LAMEHUG（APT28）,16533,"Byte-compiled Python module for CPython 3.10, timestamp-based, .py timestamp: Thu Jan  1 00:00:00 1970 UTC, .py size: 0 bytes",—,unknown,6.1152,已完成,1,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/2eb18873273e157a7244bb165d53ea3637c76087eea84b0ab635d04417ffbe1b/result.json,—,—
3082156a26534377a8a8228f44620a5bb00440b37b0cf7666c63c542232260f2,MalTerminal,232,"Python script, ASCII text executable, with CRLF line terminators",python,original_source,4.5963,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/3082156a26534377a8a8228f44620a5bb00440b37b0cf7666c63c542232260f2/result.json,键盘记录程序，未见ai信号,—
384e8f3d300205546fb8c9b9224011b3b3cb71adc994180ff55e1e6416f65715,LAMEHUG（APT28）,19827,"Python script, ASCII text executable, with very long lines (360)",python,original_source,5.5702,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,2,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/384e8f3d300205546fb8c9b9224011b3b3cb71adc994180ff55e1e6416f65715/result.json,—,同 SHA 的多个来源已合并
3afbb9fe6bab2cad83c52a3f1a12e0ce979fe260c55ab22a43c18035ff7d7f38,MalTerminal,63386,"ASCII text, with very long lines (10099)",python,original_source,4.9873,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/3afbb9fe6bab2cad83c52a3f1a12e0ce979fe260c55ab22a43c18035ff7d7f38/result.json,PyObfuscate代码混淆,—
468eed1131e4b562ae32ff2734d9feb37c9b8e2097df05431867279614c8502a,PromptSpy,15831131,"Android package (APK), with gradle app-metadata.properties Zip archive data, at least v0.0 to extract, compression method=deflate",—,strings_only,7.9696,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/468eed1131e4b562ae32ff2734d9feb37c9b8e2097df05431867279614c8502a/result.json,APK文件，无法确认,—
